[00000020] (8.04155, 4.29417) => 7721.18
[00004663] (4.5069, 4.27927) => 628.231
[00004664] (8.309, 1.37039) => 18.2028
[00004668] (1.87906, 5.71515) => 36.78
[00004671] (5.67927, 3.80596) => 742.682
[00004674] (2.01428, 1.99007) => 4.02921
[00004676] (5.51243, 8.51809) => 2.06454e+06
[00004679] (4.19515, 6.87878) => 19219.3
[00004680] (4.84929, 2.84116) => 88.7406
[00004683] (4.34377, 3.61444) => 202.086
[00004685] (7.74067, 4.08514) => 4273.5
[00004688] (8.08018, 4.39709) => 9772.73
[00004691] (5.74254, 4.32699) => 1925.92
[00004694] (9.9938, 6.38014) => 2.39012e+06
[00004699] (3.6466, 8.43016) => 54551.6
[00004702] (7.24972, 8.60114) => 2.51038e+07
[00004705] (8.74626, 2.36504) => 168.831
[00004710] (9.27215, 8.37868) => 1.26968e+08
[00004715] (2.10806, 4.17642) => 22.5252
[00004717] (3.54048, 2.40727) => 20.9769
[00004720] (4.70256, 4.46445) => 1003.69
[00004725] (5.48121, 3.45593) => 357.689
[00004728] (6.5526, 1.57824) => 19.4311
[00004730] (7.06049, 6.00547) => 125213
[00004732] (8.85539, 1.04557) => 9.78068
[00004734] (3.01393, 1.84108) => 7.62293
[00004736] (4.46429, 7.52919) => 78003
[00004739] (1.73131, 8.71074) => 119.241
[00004741] (6.35866, 9.34573) => 3.22134e+07
[00004745] (4.85524, 1.72328) => 15.2243
[00004746] (6.39808, 9.83093) => 8.39875e+07
[00004749] (3.63951, 8.80371) => 86946.5
[00004752] (2.81576, 6.65392) => 980.787
[00004757] (3.22395, 8.70868) => 26753.9
[00004761] (4.47371, 2.0335) => 21.0442
[00004764] (8.34998, 9.37442) => 4.36784e+08
[00004767] (1.88775, 2.11256) => 3.82778
[00004770] (1.46363, 1.00719) => 1.46764
[00004773] (6.43766, 5.52337) => 29302.8
[00004777] (4.60894, 7.37548) => 78411.6
[00004780] (6.06385, 5.96178) => 46405.7
[00004783] (9.46119, 6.07002) => 839480
[00004786] (4.3352, 9.90807) => 2.04898e+06
[00004789] (4.76897, 2.32384) => 37.7182
[00004793] (9.15138, 4.3104) => 13944.2
[00004796] (4.55159, 4.42306) => 814.887
[00004800] (3.47581, 6.63283) => 3879.16
[00004801] (4.75623, 6.65038) => 31919.4
[00004803] (4.5953, 8.4614) => 401885
[00004806] (5.46188, 8.60279) => 2.20396e+06
[00004811] (1.92919, 6.61416) => 77.1828
[00004814] (8.9287, 6.47447) => 1.4317e+06
[00004818] (4.15193, 5.50702) => 2539.29
[00004821] (1.2196, 5.71043) => 3.10699
[00004825] (6.57318, 9.56402) => 6.62553e+07
[00004828] (1.64734, 7.43133) => 40.8299
[00004831] (1.90767, 6.4112) => 62.8582
[00004836] (4.4996, 2.53429) => 45.22
[00004839] (5.92988, 3.96723) => 1166.42
[00004840] (8.48612, 1.16794) => 12.1529
[00004842] (1.1901, 7.35117) => 3.59435
[00004845] (8.25573, 9.41655) => 4.29218e+08
[00004846] (6.04269, 7.49001) => 710264
[00004847] (9.30445, 7.24809) => 1.04991e+07
[00004849] (9.03986, 4.94856) => 53904.7
[00004852] (3.41922, 3.10185) => 45.3067
[00004855] (6.33927, 5.94542) => 58676
[00004856] (9.86371, 4.8896) => 72520.2
[00004858] (7.45189, 9.25155) => 1.17439e+08
[00004861] (5.71007, 5.99983) => 34651.2
[00004864] (2.29711, 1.11412) => 2.5258
[00004868] (4.94058, 7.7127) => 224336
[00004871] (2.22776, 8.21509) => 720.717
[00004872] (3.77864, 2.33203) => 22.2006
[00004874] (2.86891, 6.86185) => 1382.88
[00004877] (7.27269, 4.08518) => 3312.66
[00004880] (6.69362, 4.06569) => 2274.46
[00004883] (5.62767, 3.56938) => 476.66
[00004886] (6.55072, 5.87619) => 62613.2
[00004890] (9.33308, 3.68603) => 3763.05
[00004893] (3.2886, 8.11301) => 15650
[00004898] (5.93957, 7.81026) => 1.10465e+06
[00004901] (8.69655, 2.42701) => 190.462
[00004905] (8.54518, 6.41147) => 941249
[00004908] (4.1705, 2.18572) => 22.6756
[00004912] (3.8266, 1.78879) => 11.0289
[00004915] (3.21684, 7.48833) => 6306.66
[00004918] (1.42397, 6.90284) => 11.4707
[00004922] (7.62171, 9.80172) => 4.42211e+08
[00004925] (4.12732, 4.21814) => 395.346
[00004928] (6.64686, 9.72983) => 1.00907e+08
[00004932] (7.30369, 7.36087) => 2.27208e+06
[00004935] (3.31145, 7.71148) => 10235.6
[00004936] (8.72195, 1.84907) => 54.8604
[00004938] (5.58516, 2.92731) => 153.746
[00004941] (2.60192, 7.24111) => 1016.71
[00004944] (7.96368, 7.6708) => 8.17073e+06
[00004948] (2.23155, 1.13787) => 2.4927
[00004951] (8.06633, 3.17998) => 764.203
[00004952] (5.47572, 5.45611) => 10690.8
[00004954] (2.37271, 7.11547) => 467.778
[00004957] (2.64479, 8.2691) => 3110.21
[00004959] (6.50902, 6.73512) => 301386
[00004962] (1.45069, 9.1846) => 30.479
[00004964] (1.9991, 4.03349) => 16.3462
[00004967] (3.28929, 5.36311) => 593.304
[00004968] (7.37608, 4.19114) => 4336.86
[00004971] (8.23922, 1.43051) => 20.4258
[00004974] (3.55748, 2.34008) => 19.4858
[00004976] (8.29926, 7.96923) => 2.10882e+07
[00004979] (7.33043, 2.91878) => 335.06
[00004982] (4.29233, 1.27973) => 6.45169
[00004988] (5.13489, 2.13534) => 32.9021
[00004995] (5.57271, 4.72237) => 3335.84
[00004998] (6.61386, 4.46356) => 4593.53
[00005003] (1.45004, 8.0806) => 20.1393
[00005007] (4.54831, 4.00796) => 433.151
[00005010] (6.87886, 6.07653) => 122798
[00005013] (4.27444, 4.083) => 376.598
[00005017] (4.14963, 2.08815) => 19.5207
[00005019] (4.97746, 2.71655) => 78.2445
[00005022] (3.17977, 6.69939) => 2321.34
[00005026] (1.18468, 4.46612) => 2.13162
[00005031] (7.56696, 3.11408) => 545.799
[00005032] (7.12412, 4.7949) => 12267.7
[00005034] (6.21145, 2.8421) => 179.61
[00005037] (1.08702, 8.72315) => 2.0707
[00005040] (8.11941, 6.15506) => 396441
[00005043] (3.4788, 7.57549) => 12635.6
[00005046] (4.78096, 4.57227) => 1279.17
[00005051] (9.51402, 7.02566) => 7.47567e+06
[00005054] (2.36801, 3.43526) => 19.3242
[00005058] (7.58862, 6.05864) => 215076
[00005060] (2.76182, 6.06119) => 472.245
[00005063] (1.39401, 2.2452) => 2.10816
[00005064] (7.46583, 5.94082) => 153744
[00005065] (7.16165, 8.44133) => 1.64986e+07
[00005066] (3.04953, 3.62248) => 56.7709
[00005068] (7.51612, 2.24651) => 92.882
[00005073] (9.11622, 3.07806) => 900.252
[00005076] (1.12333, 2.19348) => 1.29058
[00005078] (1.30847, 5.12682) => 3.96852
[00005082] (6.61105, 6.20402) => 122737
[00005085] (6.29216, 2.88943) => 203.272
[00005088] (1.4029, 7.32774) => 11.9501
[00005091] (1.35623, 3.90397) => 3.28563
[00005092] (3.10105, 8.96839) => 25588.6
[00005094] (5.6714, 5.38866) => 11518.1
[00005099] (6.0746, 9.02677) => 1.18204e+07
[00005103] (4.06742, 5.33524) => 1781.83
[00005105] (5.0852, 9.53744) => 5.44966e+06
[00005108] (3.6417, 9.37597) => 183134
[00005111] (2.94479, 7.4322) => 3062.73
[00005112] (3.03826, 1.84739) => 7.79106
[00005114] (9.60233, 2.07899) => 110.244
[00005118] (7.82322, 6.0003) => 229391
[00005121] (1.84467, 3.58773) => 8.99583
[00005126] (2.94271, 9.69637) => 35087.8
[00005131] (7.39011, 7.21345) => 1.84487e+06
[00005134] (2.85523, 5.48195) => 314.632
[00005137] (2.16901, 5.36402) => 63.6369
[00005140] (6.49036, 2.25525) => 67.8993
[00005143] (2.74664, 8.40737) => 4888.38
[00005144] (9.87173, 5.74131) => 511817
[00005146] (2.43779, 2.96523) => 14.0453
[00005149] (7.105, 9.01214) => 4.72518e+07
[00005152] (6.53411, 8.1914) => 4.75909e+06
[00005155] (3.58302, 6.06869) => 2309.79
[00005158] (3.50074, 4.28876) => 215.66
[00005164] (9.88784, 6.05966) => 1.07145e+06
[00005167] (3.35507, 8.09685) => 18052
[00005170] (1.75425, 2.82691) => 4.89807
[00005173] (5.45789, 3.14382) => 207.524
[00005177] (8.50597, 8.84366) => 1.66786e+08
[00005179] (1.05681, 5.19872) => 1.33279
[00005182] (6.18403, 8.87809) => 1.05921e+07
[00005184] (8.86175, 5.08019) => 65100
[00005187] (5.62784, 3.42704) => 372.778
[00005188] (2.9129, 3.34452) => 35.7227
[00005190] (5.10733, 1.84769) => 20.3482
[00005195] (9.0985, 5.81036) => 373212
[00005198] (5.18013, 3.04851) => 150.549
[00005202] (5.9294, 3.21161) => 303.815
[00005205] (5.51358, 4.30705) => 1560.96
[00005209] (1.81793, 2.59749) => 4.72334
[00005212] (1.66704, 2.22022) => 3.11007
[00005215] (7.82928, 5.18565) => 43105.1
[00005218] (7.7961, 3.63323) => 1739.38
[00005222] (7.76445, 6.69635) => 913049
[00005228] (8.8327, 7.49706) => 1.23858e+07
[00005232] (6.23775, 1.58142) => 18.0833
[00005238] (8.40621, 8.47934) => 6.91824e+07
[00005248] (7.1104, 8.53632) => 1.87087e+07
[00005251] (1.24122, 4.44497) => 2.61313
[00005254] (6.83088, 9.1566) => 4.37488e+07
[00005255] (4.82567, 6.44982) => 25634.5
[00005256] (9.55414, 5.58576) => 298614
[00005258] (4.86486, 6.3454) => 22894.8
[00005261] (6.26316, 1.44023) => 14.0464
[00005265] (8.96413, 3.9275) => 5507.8
[00005268] (4.99302, 6.87584) => 63363
[00005271] (4.65113, 5.41584) => 4124.65
[00005272] (4.53703, 1.33119) => 7.4866
[00005274] (2.15574, 6.09619) => 108.062
[00005277] (3.75477, 7.20353) => 13773
[00005280] (7.84571, 6.6805) => 947538
[00005284] (6.01311, 4.66547) => 4313.86
[00005287] (8.80533, 8.68793) => 1.61395e+08
[00005288] (1.18161, 7.64179) => 3.57964
[00005290] (4.01622, 5.21527) => 1409.53
[00005293] (3.88474, 7.32275) => 20689.7
[00005296] (2.48432, 7.68724) => 1091.56
[00005300] (3.7196, 9.00174) => 136601
[00005303] (9.27569, 1.13407) => 12.5037
[00005304] (4.08767, 1.29138) => 6.16097
[00005306] (8.28951, 3.41232) => 1362.43
[00005309] (4.61338, 9.57688) => 2.28684e+06
[00005312] (8.59317, 8.11578) => 3.81399e+07
[00005315] (5.04211, 7.65563) => 239298
[00005318] (8.67151, 3.50987) => 1961.52
[00005323] (6.53655, 1.59648) => 20.0303
[00005326] (2.55614, 2.03744) => 6.76749
[00005328] (8.54291, 3.85338) => 3888.93
[00005331] (9.02019, 4.84363) => 42336.2
[00005334] (8.20884, 7.87556) => 1.58665e+07
[00005339] (8.40657, 1.24777) => 14.2467
[00005342] (5.50749, 9.37749) => 8.8775e+06
[00005344] (1.17559, 7.73196) => 3.49318
[00005347] (5.57985, 7.92108) => 820457
[00005349] (7.25051, 6.80288) => 712825
[00005353] (7.19761, 6.06314) => 157491
[00005356] (7.21435, 5.16911) => 27297.1
[00005358] (4.90569, 7.71761) => 214068
[00005361] (2.08665, 3.55086) => 13.6246
[00005364] (1.36814, 4.06908) => 3.58037
[00005367] (1.89245, 2.53408) => 5.03499
[00005368] (6.6634, 5.72075) => 51541.4
[00005369] (5.76242, 5.98067) => 35393.9
[00005371] (6.23077, 3.72769) => 915.815
[00005374] (6.96175, 1.611) => 22.7836
[00005376] (7.8833, 5.96081) => 221365
[00005380] (8.81061, 7.5292) => 1.30358e+07
[00005383] (9.23486, 4.26277) => 13043.8
[00005384] (9.01146, 6.14097) => 730071
[00005386] (3.1684, 1.96239) => 9.61262
[00005391] (6.70502, 6.76652) => 390706
[00005395] (8.84964, 6.93253) => 3.66934e+06
[00005398] (5.61118, 2.52258) => 77.544
[00005401] (5.33857, 3.68972) => 483.052
[00005404] (7.29647, 1.7459) => 32.1296
[00005407] (8.39256, 1.42229) => 20.6083
[00005410] (8.50418, 6.39593) => 882801
[00005413] (2.42069, 1.55959) => 3.96996
[00005418] (4.27745, 9.19211) => 633760
[00005421] (5.62597, 3.17162) => 239.522
[00005424] (2.69618, 5.66836) => 276.464
[00005427] (8.00722, 5.49702) => 92567.1
[00005430] (8.958, 5.77755) => 317280
[00005431] (8.14236, 3.3606) => 1149.91
[00005432] (7.71223, 7.80421) => 8.38959e+06
[00005434] (1.01643, 6.30517) => 1.1082
[00005436] (7.52783, 5.00987) => 24660.6
[00005439] (1.57933, 2.53464) => 3.1846
[00005443] (1.64156, 2.42144) => 3.32074
[00005446] (9.9184, 1.20532) => 15.8866
[00005447] (8.8222, 6.61504) => 1.79899e+06
[00005450] (1.76082, 4.46522) => 12.5075
[00005453] (2.76206, 8.93489) => 8757.37
[00005456] (1.91461, 6.7739) => 81.4308
[00005460] (7.45285, 6.98459) => 1.23827e+06
[00005464] (1.79794, 6.43617) => 43.6293
[00005467] (6.93719, 5.88741) => 89617.8
[00005470] (8.30502, 4.3385) => 9740.08
[00005473] (2.7503, 3.62217) => 39.0401
[00005477] (4.06691, 7.94644) => 69419.7
[00005482] (6.3555, 1.05452) => 7.02976
[00005486] (6.6137, 1.41336) => 14.4405
[00005487] (7.40614, 8.82199) => 4.69382e+07
[00005490] (5.66027, 2.5833) => 88.0656
[00005493] (6.49476, 1.30617) => 11.5172
[00005498] (4.88626, 5.09206) => 3223.36
[00005501] (1.28256, 6.41008) => 4.92932
[00005506] (5.11419, 7.82098) => 349406
[00005509] (3.53512, 8.96753) => 82761.8
[00005514] (6.53156, 1.5) => 16.6928
[00005517] (9.09753, 5.74788) => 324919
[00005519] (7.51544, 9.11087) => 9.56552e+07
[00005522] (1.16827, 2.13053) => 1.39285
[00005525] (7.58546, 7.85656) => 8.19648e+06
[00005529] (1.15318, 5.68215) => 2.24752
[00005532] (8.31535, 2.1755) => 100.276
[00005536] (8.04056, 9.13165) => 1.84823e+08
[00005541] (4.75826, 3.74283) => 343.221
[00005544] (6.7324, 5.8682) => 72421
[00005547] (3.72457, 9.02635) => 142800
[00005550] (2.08915, 1.7467) => 3.62151
[00005552] (1.55006, 1.47633) => 1.90992
[00005555] (6.57098, 8.39705) => 7.33977e+06
[00005559] (7.35708, 6.47993) => 413229
[00005562] (8.17244, 1.59912) => 28.7715
[00005565] (2.76803, 7.90078) => 3115.26
[00005568] (2.08282, 3.59334) => 13.9645
[00005569] (7.79445, 1.28159) => 13.8965
[00005572] (4.11989, 6.99771) => 20081.2
[00005577] (9.56578, 7.79623) => 4.42511e+07
[00005580] (5.15399, 8.18455) => 673870
[00005583] (5.10826, 2.15931) => 33.8363
[00005587] (6.19976, 3.2713) => 390.927
[00005591] (5.88699, 1.09269) => 6.93832
[00005594] (3.69859, 6.40305) => 4336.78
[00005597] (8.82522, 6.75371) => 2.43868e+06
[00005600] (2.16297, 8.64413) => 787.452
[00005603] (2.41034, 4.88195) => 73.3305
[00005607] (2.0972, 8.27744) => 459.578
[00005610] (3.97979, 8.69981) => 165451
[00005613] (3.71466, 5.4975) => 1358.73
[00005616] (4.27418, 7.7037) => 72427.1
[00005621] (5.49618, 3.30759) => 280.423
[00005622] (6.30339, 2.64953) => 131.371
[00005624] (6.75863, 6.35401) => 187471
[00005627] (2.40983, 7.72526) => 893.199
[00005630] (2.26454, 1.30473) => 2.90505
[00005632] (1.77217, 3.30864) => 6.64067
[00005635] (2.55153, 1.07948) => 2.74873
[00005639] (8.39128, 4.5682) => 16604.6
[00005642] (1.06166, 7.77284) => 1.59214
[00005646] (8.22903, 4.14994) => 6289.92
[00005649] (3.2878, 1.20198) => 4.18129
[00005652] (9.03386, 7.93438) => 3.8394e+07
[00005656] (3.15892, 7.54127) => 5850.01
[00005660] (1.60135, 6.06622) => 17.3961
[00005664] (5.71303, 7.11538) => 242880
[00005667] (7.62323, 7.14358) => 2.00276e+06
[00005671] (6.64836, 5.69344) => 48314.3
[00005674] (9.31919, 5.29785) => 136652
[00005677] (6.42326, 4.72562) => 6563.69
[00005680] (7.11523, 2.2947) => 90.2654
[00005682] (6.93632, 6.99283) => 761861
[00005685] (5.25781, 2.08947) => 32.07
[00005686] (2.78082, 5.80342) => 378.204
[00005687] (8.46397, 4.8565) => 31971.6
[00005690] (9.71602, 6.8334) => 5.59636e+06
[00005694] (8.72815, 5.707) => 234339
[00005696] (9.87966, 6.30715) => 1.87928e+06
[00005699] (6.77416, 2.84961) => 233.139
[00005703] (7.49132, 3.84754) => 2316.85
[00005706] (6.82882, 8.08098) => 5.52499e+06
[00005710] (6.29133, 6.72368) => 234687
[00005713] (1.8232, 5.15699) => 22.1369
[00005716] (7.30041, 2.44161) => 128.219
[00005717] (1.00155, 3.49794) => 1.00543
[00005718] (1.49077, 4.62608) => 6.34178
[00005721] (4.10537, 2.15463) => 20.9676
[00005723] (3.40145, 6.74948) => 3876.61
[00005726] (7.83321, 8.8209) => 7.67994e+07
[00005729] (5.3157, 3.31027) => 252.233
[00005732] (3.46521, 7.63788) => 13255.3
[00005736] (6.06317, 7.94123) => 1.64284e+06
[00005740] (9.30224, 1.83414) => 59.7754
[00005743] (4.54168, 6.45235) => 17401.8
[00005746] (3.77566, 9.46652) => 289809
[00005749] (2.39679, 6.99589) => 452.742
[00005750] (3.40774, 3.23513) => 52.7955
[00005752] (1.74152, 3.32542) => 6.3269
[00005755] (3.74315, 8.4073) => 65974.2
[00005756] (2.57284, 9.28908) => 6491.71
[00005759] (5.30998, 5.4983) => 9700.09
[00005763] (3.80245, 8.69961) => 111258
[00005767] (4.19628, 8.65016) => 244271
[00005771] (6.28108, 2.94937) => 225.784
[00005774] (7.85953, 5.93984) => 208217
[00005777] (8.18735, 8.27313) => 3.58558e+07
[00005780] (8.83608, 7.2778) => 7.70351e+06
[00005786] (7.69435, 4.27939) => 6198.31
[00005789] (2.59296, 1.77118) => 5.40638
[00005791] (4.16418, 3.68781) => 192.622
[00005795] (9.69865, 5.45656) => 242128
[00005799] (4.8185, 8.83689) => 1.08347e+06
[00005802] (8.01774, 2.17706) => 92.9336
[00005805] (6.1747, 4.70921) => 5286.58
[00005808] (1.89025, 6.12687) => 49.4532
[00005812] (1.79961, 9.16502) => 218.134
[00005816] (3.10952, 2.37336) => 14.7686
[00005819] (5.87954, 8.59094) => 4.06803e+06
[00005822] (4.33146, 9.1326) => 651823
[00005825] (8.18861, 8.19349) => 3.03657e+07
[00005828] (2.77028, 4.28464) => 78.7151
[00005833] (8.74684, 1.01523) => 9.04049
[00005836] (6.69089, 9.75283) => 1.1241e+08
[00005839] (8.86063, 8.08123) => 4.53603e+07
[00005842] (3.39735, 4.96869) => 435.583
[00005846] (1.75601, 6.53077) => 39.5324
[00005849] (1.79837, 1.85337) => 2.96748
[00005852] (1.56457, 3.39361) => 4.56771
[00005854] (9.12842, 4.68274) => 31425.3
[00005857] (2.63608, 5.15021) => 147.239
[00005860] (4.61974, 7.32077) => 73369.1
[00005861] (9.68493, 8.75198) => 4.26873e+08
[00005864] (2.54383, 7.72458) => 1355.91
[00005866] (1.80291, 4.6331) => 15.3445
[00005869] (5.01299, 7.53027) => 187034
[00005872] (4.6914, 6.3533) => 18407
[00005875] (9.89568, 5.51344) => 307841
[00005879] (3.42936, 9.71993) => 159309
[00005882] (7.30405, 6.87847) => 870960
[00005887] (3.79466, 2.84857) => 44.6492
[00005890] (5.07866, 2.36086) => 46.3637
[00005894] (1.45768, 6.42573) => 11.2628
[00005897] (7.42828, 4.34462) => 6076.83
[00005901] (4.99764, 5.57005) => 7801.09
[00005904] (2.68581, 2.95489) => 18.5297
[00005907] (3.68106, 6.11269) => 2881.46
[00005911] (2.1365, 5.56333) => 68.2719
[00005915] (5.16627, 8.16653) => 667085
[00005919] (1.63133, 5.35961) => 13.7765
[00005922] (9.48276, 2.2572) => 160.374
[00005926] (6.00099, 6.72652) => 171685
[00005929] (1.56548, 3.77445) => 5.42864
[00005931] (8.36008, 6.08514) => 409051
[00005933] (4.82586, 2.61845) => 61.6464
[00005936] (2.72415, 2.58614) => 13.3526
[00005940] (3.77056, 8.54624) => 84353
[00005941] (8.9973, 6.29376) => 1.01147e+06
[00005943] (8.14673, 5.57446) => 119740
[00005946] (5.0425, 1.46603) => 10.7177
[00005949] (1.30199, 4.43431) => 3.22257
[00005952] (6.59807, 4.44998) => 4429.88
[00005955] (2.8966, 2.3481) => 12.1495
[00005966] (2.49131, 9.90011) => 8407.76
[00005969] (4.6667, 9.34526) => 1.78679e+06
[00005973] (2.43033, 3.57607) => 23.9422
[00005975] (2.04428, 8.00525) => 306.159
[00005978] (8.89863, 8.13008) => 5.22492e+07
[00005980] (3.16592, 2.34162) => 14.8587
[00005983] (4.90932, 9.48178) => 3.56547e+06
[00005986] (5.76475, 4.63905) => 3382.94
[00005991] (1.05217, 2.91944) => 1.16004
[00005994] (7.87663, 9.25823) => 1.98852e+08
[00005997] (2.97398, 5.82856) => 573.953
[00006001] (2.91793, 9.65241) => 30838.3
[00006005] (9.57771, 4.96948) => 75225.2
[00006008] (4.03669, 8.83251) => 225283
[00006011] (6.76764, 5.41877) => 31618.9
[00006014] (3.44985, 9.46125) => 122535
[00006017] (9.94417, 4.99299) => 95685.8
[00006021] (3.30286, 1.30833) => 4.77396
[00006023] (3.93586, 1.24847) => 5.53207
[00006025] (1.0134, 7.97441) => 1.112
[00006027] (6.36497, 2.22735) => 61.7078
[00006030] (1.90018, 5.93245) => 45.0758
[00006033] (6.29275, 6.52089) => 161866
[00006037] (7.65776, 8.77637) => 5.74385e+07
[00006040] (6.28525, 3.60885) => 760.378
[00006043] (1.85099, 7.87335) => 127.455
[00006046] (5.6678, 6.35604) => 61480.1
[00006048] (4.3018, 3.16629) => 101.466
[00006051] (8.43031, 4.41087) => 12127.7
[00006052] (3.44236, 2.235) => 15.8443
[00006054] (3.43162, 6.21165) => 2119.97
[00006057] (1.89431, 3.71449) => 10.7298
[00006060] (7.18092, 7.02728) => 1.039e+06
[00006063] (7.28696, 4.20034) => 4197.44
[00006066] (9.13607, 8.32033) => 9.85897e+07
[00006071] (1.74783, 5.83963) => 26.068
[00006074] (6.44989, 6.87865) => 370362
[00006077] (7.60299, 2.77385) => 277.793
[00006081] (4.71494, 2.65637) => 61.5183
[00006087] (9.02598, 8.92743) => 3.38932e+08
[00006090] (1.40779, 9.49578) => 25.7326
[00006093] (7.79961, 8.83536) => 7.61708e+07
[00006096] (7.13863, 4.79463) => 12381.4
[00006102] (8.18376, 4.53924) => 13935.1
[00006105] (7.94903, 1.60471) => 27.8446
[00006108] (7.52166, 1.36627) => 15.75
[00006111] (5.68896, 1.47396) => 12.9686
[00006114] (5.521, 8.47148) => 1.93191e+06
[00006118] (8.07703, 3.65791) => 2082.8
[00006121] (8.60704, 9.93127) => 1.92434e+09
[00006125] (5.40921, 5.82447) => 18625.9
[00006128] (3.43435, 8.19262) => 24545.3
[00006131] (5.35782, 1.7594) => 19.1684
[00006132] (6.14548, 5.85279) => 41233.6
[00006134] (2.59817, 6.91641) => 737.921
[00006136] (3.11292, 7.56533) => 5382.47
[00006139] (5.33625, 1.50495) => 12.4295
[00006143] (9.41998, 4.39997) => 19310.2
[00006146] (8.79975, 1.75079) => 45.0368
[00006150] (3.71999, 4.20038) => 249.168
[00006153] (3.32358, 5.28468) => 570.848
[00006156] (9.11319, 7.91506) => 3.94321e+07
[00006159] (2.88943, 4.17348) => 83.789
[00006162] (2.37907, 1.3951) => 3.35064
[00006167] (2.79142, 9.13538) => 11824.5
[00006170] (3.66642, 1.35563) => 5.81975
[00006172] (3.79325, 4.99715) => 782.368
[00006174] (4.29851, 6.92968) => 24473
[00006176] (1.72979, 3.35939) => 6.30245
[00006181] (5.38277, 9.33649) => 6.68398e+06
[00006183] (7.09919, 3.73244) => 1503.43
[00006187] (6.53688, 1.88976) => 34.742
[00006190] (7.47308, 3.27389) => 724.008
[00006193] (2.31635, 4.07576) => 30.68
[00006197] (9.72129, 4.75965) => 50260
[00006199] (8.05899, 7.2977) => 4.10923e+06
[00006203] (7.69264, 7.83903) => 8.83022e+06
[00006207] (3.75689, 4.83921) => 604.949
[00006210] (8.37492, 3.7177) => 2700.03
[00006215] (7.72989, 4.21974) => 5595.74
[00006217] (6.64587, 6.9493) => 520182
[00006220] (7.67479, 9.39978) => 2.08658e+08
[00006224] (6.57101, 9.79537) => 1.02096e+08
[00006227] (4.63326, 1.40369) => 8.60394
[00006228] (7.93169, 3.2815) => 893.858
[00006231] (8.17538, 8.89984) => 1.32183e+08
[00006234] (2.20492, 7.68874) => 436.783
[00006236] (8.52289, 4.19198) => 7961.61
[00006239] (3.60336, 3.46797) => 85.24
[00006242] (8.47219, 8.38163) => 5.99956e+07
[00006247] (7.15107, 9.55225) => 1.44931e+08
[00006250] (8.68643, 7.70939) => 1.72939e+07
[00006253] (8.78223, 4.55797) => 19995.2
[00006256] (5.23203, 6.96841) => 101856
[00006259] (5.26503, 8.88819) => 2.58193e+06
[00006260] (8.1008, 2.47462) => 177.117
[00006263] (2.35523, 7.02862) => 411.985
[00006266] (1.73101, 6.21873) => 30.3339
[00006270] (6.66917, 4.51613) => 5267.58
[00006275] (8.56779, 6.29145) => 739779
[00006276] (5.24735, 3.77189) => 519.44
[00006278] (6.31473, 6.64707) => 208937
[00006281] (2.64532, 6.61197) => 621.465
[00006284] (9.33853, 8.09413) => 7.13774e+07
[00006288] (6.47515, 5.578) => 33508
[00006290] (2.69435, 9.2035) => 9155.66
[00006293] (4.51645, 8.3584) => 297208
[00006296] (3.3977, 8.35602) => 27452.7
[00006299] (6.03214, 6.82617) => 212634
[00006304] (4.19075, 9.74196) => 1.15435e+06
[00006307] (2.11073, 3.07809) => 9.96858
[00006308] (8.55751, 9.72303) => 1.1621e+09
[00006311] (8.6929, 8.0066) => 3.30763e+07
[00006313] (7.01982, 7.26289) => 1.40208e+06
[00006316] (7.04697, 6.55346) => 360869
[00006319] (4.64442, 1.32864) => 7.69323
[00006322] (8.87589, 2.12512) => 103.529
[00006328] (2.20443, 7.19373) => 294.839
[00006331] (3.94736, 7.71902) => 40077.7
[00006334] (1.73238, 1.10429) => 1.83456
[00006337] (6.41783, 8.09987) => 3.46531e+06
[00006343] (9.44274, 8.44241) => 1.70678e+08
[00006346] (3.32803, 7.08156) => 4987.69
[00006349] (1.40175, 6.04936) => 7.71372
[00006352] (7.97042, 1.77017) => 39.4254
[00006355] (3.23143, 8.35831) => 18099.9
[00006356] (6.25304, 3.02704) => 256.92
[00006359] (3.48097, 3.06569) => 45.7812
[00006361] (4.09781, 7.96366) => 75536
[00006364] (9.19784, 3.93544) => 6202.02
[00006367] (1.71776, 4.18547) => 9.62555
[00006370] (3.48462, 4.80682) => 403.691
[00006373] (6.10017, 4.87681) => 6760.33
[00006376] (3.76732, 8.87318) => 129193
[00006379] (6.90276, 2.28369) => 82.4271
[00006382] (1.24038, 4.40893) => 2.58506
[00006385] (4.4795, 4.08802) => 459.451
[00006391] (2.49121, 5.22767) => 118.114
[00006394] (4.86325, 9.78519) => 5.26877e+06
[00006397] (6.24372, 7.38296) => 745980
[00006400] (5.02978, 9.14311) => 2.5962e+06
[00006403] (6.65622, 1.67046) => 23.7231
[00006404] (6.24752, 6.06454) => 66927.6
[00006407] (3.95035, 3.05108) => 66.1278
[00006411] (7.6098, 6.09245) => 234274
[00006414] (4.92152, 2.75493) => 80.6654
[00006417] (7.8237, 9.39959) => 2.49867e+08
[00006421] (1.85149, 8.97898) => 252.386
[00006424] (9.93493, 5.65117) => 431664
[00006427] (6.53371, 2.78758) => 187.209
[00006429] (1.71323, 4.82885) => 13.4605
[00006433] (2.54215, 6.11906) => 301.612
[00006437] (4.7723, 7.58829) => 141380
[00006440] (3.06103, 2.23688) => 12.2132
